General Location            ,             x             ,             y             ,             z             ,             Rx            ,             Ry            ,             Rz
91,            591.976 ,    -962.52 ,      879.188 ,     0.373 ,      -0.277 ,       121.637 
92,            723.388 ,    -866.914 ,     884.713 ,     0.0486 ,     -0.1211 ,      129.8143 
93,           -630.335 ,    -936.106 ,     884.987 ,     0.2373 ,      0.0143 ,      56.0098 
94,           -631.029 ,    -937.145 ,     384.981 ,     0.4903 ,      0.0398 ,      56.0456 
95,            724.025 ,    -869.946 ,    -115.662 ,    -0.0195 ,     -0.1454 ,      129.7686 
96,           -632.158 ,    -936.559 ,    -115.492 ,     0.3967 ,      0.3158 ,      55.9839 
97,            499.84 ,     -784.376 ,     880.057 ,     0.373 ,      -0.277 ,       121.637 
98,            0 ,           0 ,           0 ,           0 ,           0 ,           0 
99,           -931.05 ,      1063.007 ,    369.733 ,     0.5668 ,     -0.0517 ,      2.4669 
100,           -1030.957 ,    1058.703 ,    289.643 ,     0.5668 ,     -0.0517 ,      2.4669 
101,           -861.115 ,     1066.02 ,     289.796 ,     0.5668 ,     -0.0517 ,      2.4669 
102,           -861.115 ,     1066.02 ,     369.796 ,     0.5668 ,     -0.0517 ,      2.4669 
103,           -1030.957 ,    1058.703 ,    369.643 ,     0.5668 ,     -0.0517 ,      2.4669 
104,           -931.05 ,      1063.007 ,    289.733 ,     0.5668 ,     -0.0517 ,      2.4669 
105,            0 ,           0 ,           0 ,           0 ,           0 ,           0 
106,            539.523 ,    -877.382 ,     975.671 ,     0.373 ,      -0.277 ,       121.637 
107,            591.976 ,    -962.52 ,      879.188 ,     0.373 ,      -0.277 ,       121.637 
108,            487.07 ,     -792.244 ,     880.155 ,     0.373 ,      -0.277 ,       121.637 
109,            487.07 ,     -792.244 ,     976.155 ,     0.373 ,      -0.277 ,       121.637 
100,            591.976 ,    -962.52 ,      975.188 ,     0.373 ,      -0.277 ,       121.637
101,            591.976 ,    -962.52 ,      879.188 ,     0.373 ,      -0.277 ,       121.637 
102,            723.388 ,    -866.914 ,     884.713 ,     0.0486 ,     -0.1211 ,      129.8143 
103,           -630.335 ,    -936.106 ,     884.987 ,     0.2373 ,      0.0143 ,      56.0098 
104,           -631.029 ,    -937.145 ,     384.981 ,     0.4903 ,      0.0398 ,      56.0456 
105,            724.025 ,    -869.946 ,    -115.662 ,    -0.0195 ,     -0.1454 ,      129.7686 
106,           -632.158 ,    -936.559 ,    -115.492 ,     0.3967 ,      0.3158 ,      55.9839 
107,            499.84 ,     -784.376 ,     880.057 ,     0.373 ,      -0.277 ,       121.637 
108,            0 ,           0 ,           0 ,           0 ,           0 ,           0 
109,           -931.05 ,      1063.007 ,    369.733 ,     0.5668 ,     -0.0517 ,      2.4669 
110,           -1030.957 ,    1058.703 ,    289.643 ,     0.5668 ,     -0.0517 ,      2.4669 
111,           -861.115 ,     1066.02 ,     289.796 ,     0.5668 ,     -0.0517 ,      2.4669 
112,           -861.115 ,     1066.02 ,     369.796 ,     0.5668 ,     -0.0517 ,      2.4669 
113,           -1030.957 ,    1058.703 ,    369.643 ,     0.5668 ,     -0.0517 ,      2.4669 
114,           -931.05 ,      1063.007 ,    289.733 ,     0.5668 ,     -0.0517 ,      2.4669 
115,            0 ,           0 ,           0 ,           0 ,           0 ,           0 
116,            539.523 ,    -877.382 ,     975.671 ,     0.373 ,      -0.277 ,       121.637 
117,            591.976 ,    -962.52 ,      879.188 ,     0.373 ,      -0.277 ,       121.637 
118,            487.07 ,     -792.244 ,     880.155 ,     0.373 ,      -0.277 ,       121.637 
119,            487.07 ,     -792.244 ,     976.155 ,     0.373 ,      -0.277 ,       121.637 
120,            591.976 ,    -962.52 ,      975.188 ,     0.373 ,      -0.277 ,       121.637
121,           -861.115 ,     1066.02 ,     289.796 ,     0.5668 ,     -0.0517 ,      2.4669 
122,           -861.115 ,     1066.02 ,     369.796 ,     0.5668 ,     -0.0517 ,      2.4669 
123,           -1030.957 ,    1058.703 ,    369.643 ,     0.5668 ,     -0.0517 ,      2.4669 
124,           -931.05 ,      1063.007 ,    289.733 ,     0.5668 ,     -0.0517 ,      2.4669 
125,            0 ,           0 ,           0 ,           0 ,           0 ,           0 
126,            539.523 ,    -877.382 ,     975.671 ,     0.373 ,      -0.277 ,       121.637 
127,            591.976 ,    -962.52 ,      879.188 ,     0.373 ,      -0.277 ,       121.637 





































